issue_number,title,existing_labels,labels_to_add,all_suggested_labels
1317,Feature Audit: Removed VM binaries from repository (added to .gitignore),feature-audit,"triage:done, priority:low, area:vm","feature-audit, priority:low, area:vm"
1316,Feature Audit: Build &amp; Configuration,feature-audit,"triage:done, priority:low, area:build, area:vm","feature-audit, priority:low, area:build, area:vm"
1315,Feature Audit: Fixed SwiftUI state management for VM list updates,feature-audit,"triage:done, priority:low, area:ui, area:vm","feature-audit, priority:low, area:ui, area:vm"
1314,Feature Audit: Resolved app sandbox issues for VM image access,feature-audit,"triage:done, priority:low, area:vm","feature-audit, priority:low, area:vm"
1313,Feature Audit: Fixed EFI NVRAM file discovery with correct naming pattern (.nvram),feature-audit,"triage:done, area:security, priority:low, area:vm","area:security, feature-audit, priority:low, area:vm"
1312,Feature Audit: Resolved VM startup crashes by implementing dedicated serial dispatch queue,feature-audit,"area:performance, triage:done, priority:low, area:vm","priority:low, feature-audit, area:performance, area:vm"
1311,Feature Audit: Fixed VZ disk attachment configuration (now uses synchronizationMode: .full),feature-audit,"triage:done, priority:low, area:storage, area:vm","feature-audit, priority:low, area:storage, area:vm"
1310,Feature Audit: VM &amp; Virtualization,feature-audit,"triage:done, priority:low, area:vm","feature-audit, priority:low, area:vm"
1309,[Feature] Implement BhyveProvider for FreeBSD VM Support,,"priority: p2, triage:done, area:ui, area:vm","priority: p2, area:ui, area:vm"
1308,Feature Audit: Efficient Networking** - Native HTTP/WebSocket implementations,feature-audit,"priority:low, area:networking, area:vm, triage:done, area:performance, area:build","feature-audit, priority:low, area:networking, area:performance, area:build, area:vm"
1307,Feature Audit: Optimized Asset Loading** - Static asset bundling with Tauri resource system,feature-audit,"triage:done, priority:low, area:ui, area:vm","feature-audit, priority:low, area:ui, area:vm"
1306,Feature Audit: Native VM Performance** - Apple Virtualization Framework delivers near-native VM speeds,feature-audit,"area:performance, triage:done, priority:low, area:vm","priority:low, feature-audit, area:performance, area:vm"
1302,Feature Audit: Performance Monitoring** - Real-time application performance tracking,feature-audit,"area:performance, triage:done, priority:low, area:vm","priority:low, feature-audit, area:performance, area:vm"
1298,Feature Audit: NAT Networking** - Automatic network configuration,feature-audit,"area:networking, triage:done, priority:low, area:vm","area:networking, feature-audit, priority:low, area:vm"
1297,Feature Audit: Virtio Block Devices** - High-performance disk I/O,feature-audit,"priority:low, area:storage, area:vm, triage:done, area:performance","feature-audit, priority:low, area:performance, area:storage, area:vm"
1296,Feature Audit: UEFI Boot Support** - Modern boot with VZEFIBootLoader,feature-audit,"triage:done, priority:low, area:vm","feature-audit, priority:low, area:vm"
1288,"Feature Audit: Multi-Language Support** - Python, Rust, Go, Java, and more",feature-audit,"triage:done, priority:low, area:vm","feature-audit, priority:low, area:vm"
1287,Feature Audit: Git Integration** - Built-in version control operations,feature-audit,"triage:done, area:git, priority:low, area:vm","area:git, feature-audit, priority:low, area:vm"
1286,Feature Audit: TypeScript/JavaScript** - First-class support with full type checking,feature-audit,"triage:done, priority:low, area:vm","feature-audit, priority:low, area:vm"
1285,Feature Audit: Syntax Highlighting** - Support for 50+ programming languages,feature-audit,"triage:done, priority:low, area:vm","feature-audit, priority:low, area:vm"
1284,Feature Audit: Monaco Editor 0.53.0** - Full-featured code editor with IntelliSense,feature-audit,"triage:done, priority:low, area:ui, area:vm","feature-audit, priority:low, area:ui, area:vm"
1283,Feature Audit: Context-Aware Suggestions** - Intelligent code completion using project context,feature-audit,"triage:done, priority:low, area:vm","feature-audit, priority:low, area:vm"
1282,Feature Audit: Monacopilot Integration** - AI-powered code completion in Monaco editor (v1.2.7),feature-audit,"triage:done, priority:low, area:ui, area:vm","feature-audit, priority:low, area:ui, area:vm"
1281,Feature Audit: Model Orchestration Dashboard** - Complete management interface with usage analytics,feature-audit,"triage:done, priority:low, area:ui, area:vm","feature-audit, priority:low, area:ui, area:vm"
1280,Feature Audit: Multi-Provider Support** - Intelligent routing between AI providers based on task type,feature-audit,"triage:done, priority:low, area:vm","feature-audit, priority:low, area:vm"
1279,"Feature Audit: 321+ AI Models** - Access to OpenAI GPT-4, Anthropic Claude, Google Gemini, Mistral via OpenRouter",feature-audit,"triage:done, priority:low, area:vm","feature-audit, priority:low, area:vm"
1278,Feature Audit: Lima VM Support** - Integration with Lima for lightweight Linux VM management,feature-audit,"triage:done, priority:low, area:vm","feature-audit, priority:low, area:vm"
1277,Feature Audit: Auto-Start Functionality** - Designated VMs start automatically on application launch,feature-audit,"triage:done, priority:low, area:vm","feature-audit, priority:low, area:vm"
1276,Feature Audit: VM Discovery System** - Automatic detection and management of VM images,feature-audit,"triage:done, priority:low, area:vm","feature-audit, priority:low, area:vm"
1275,"Feature Audit: vfkit Integration** - Fast, native VM management without heavy virtualization layers",feature-audit,"triage:done, priority:low, area:vm","feature-audit, priority:low, area:vm"
1274,Feature Audit: Apple VF Runtime Support** - Native Apple Virtualization Framework for running Linux VMs,feature-audit,"triage:done, priority:low, area:vm","feature-audit, priority:low, area:vm"
1273,Feature Audit: Apple Virtualization Framework Integration,feature-audit,"triage:done, priority:low, area:vm","feature-audit, priority:low, area:vm"
1268,Feature Audit: Native Desktop Application,feature-audit,"triage:done, priority:low, area:vm","feature-audit, priority:low, area:vm"
1267,Feature Audit: PostgreSQL 16: `localhost:5432`,feature-audit,"triage:done, priority:low","feature-audit, priority:low"
1266,Feature Audit: OpenVSCode Server: `localhost:3000`,feature-audit,"triage:done, priority:low","feature-audit, priority:low"
1265,Feature Audit: Dropbear SSH: `localhost:2222`,feature-audit,"triage:done, priority:low","feature-audit, priority:low"
1258,Feature Audit: Real-time service monitoring with status indicators,feature-audit,"triage:done, priority:low","feature-audit, priority:low"
1257,Feature Audit: No Telemetry** - Privacy-first design (NEXT_TELEMETRY_DISABLED=1),feature-audit,"triage:done, priority:low, area:tracing, area:vm","feature-audit, priority:low, area:tracing, area:vm"
1256,Feature Audit: Sandboxing** - Tauri security sandbox for web content,feature-audit,"priority:low, area:security, area:vm, triage:done, area:ui","feature-audit, priority:low, area:security, area:ui, area:vm"
1255,Feature Audit: Domain Allowlisting** - Controlled external connections,feature-audit,"triage:done, priority:low, area:vm","feature-audit, priority:low, area:vm"
1254,Feature Audit: CSP Headers** - Strict Content Security Policy,feature-audit,"triage:done, area:security, priority:low, area:vm","area:security, feature-audit, priority:low, area:vm"
1248,Feature Audit: Context Propagation** - Distributed trace correlation,feature-audit,"triage:done, priority:low, area:tracing, area:vm","feature-audit, priority:low, area:tracing, area:vm"
1247,Feature Audit: Metrics** - Prometheus-compatible metrics on :9090,feature-audit,"triage:done, priority:low, area:vm","feature-audit, priority:low, area:vm"
1246,Feature Audit: Traces** - OpenTelemetry Protocol (OTLP) export,feature-audit,"triage:done, priority:low, area:tracing, area:vm","feature-audit, priority:low, area:tracing, area:vm"
1245,Feature Audit: Alerting** - Threshold-based alerts,feature-audit,"triage:done, priority:low, area:vm","feature-audit, priority:low, area:vm"
1244,Feature Audit: Dashboards** - Pre-configured visualizations,feature-audit,"triage:done, priority:low, area:ui, area:vm","feature-audit, priority:low, area:ui, area:vm"
1243,Feature Audit: Log Aggregation** - Centralized log management,feature-audit,"triage:done, priority:low, area:vm","feature-audit, priority:low, area:vm"
1242,Feature Audit: Metrics Collection** - Custom application metrics,feature-audit,"triage:done, priority:low, area:tracing, area:vm","feature-audit, priority:low, area:tracing, area:vm"
1241,Feature Audit: APM Tracing** - Distributed request tracing,feature-audit,"priority:low, area:tracing, area:vm, triage:done, area:build","feature-audit, priority:low, area:build, area:tracing, area:vm"
1240,Feature Audit: Full IDE** - Complete development environment,feature-audit,"triage:done, priority:low, area:vm","feature-audit, priority:low, area:vm"
1239,Feature Audit: pgvector** - Vector database for AI embeddings,feature-audit,"triage:done, area:rag, priority:low, area:vm","area:rag, feature-audit, priority:low, area:vm"
1238,Feature Audit: code-server** - Browser-based VS Code,feature-audit,"triage:done, priority:low, area:vm","feature-audit, priority:low, area:vm"
1237,Feature Audit: Node.js** - JavaScript/TypeScript development,feature-audit,"triage:done, priority:low, area:vm","feature-audit, priority:low, area:vm"
1236,Feature Audit: Valkey/Redis** - Caching and pub/sub,feature-audit,"triage:done, priority:low, area:vm","feature-audit, priority:low, area:vm"
1235,Feature Audit: PostgreSQL** - Database development,feature-audit,"triage:done, priority:low, area:vm","feature-audit, priority:low, area:vm"
1234,Feature Audit: Auto-Start** - Configure VMs to start with application,feature-audit,"triage:done, priority:low, area:vm","feature-audit, priority:low, area:vm"
1233,Feature Audit: Auto-Discovery** - Automatic VM image detection,feature-audit,"triage:done, priority:low, area:vm","feature-audit, priority:low, area:vm"
1232,Feature Audit: vfkit Support** - Fast VM provisioning,feature-audit,"triage:done, priority:low, area:vm","feature-audit, priority:low, area:vm"
1231,Feature Audit: Lima Integration** - Lightweight Linux VMs,feature-audit,"triage:done, priority:low, area:vm","feature-audit, priority:low, area:vm"
1230,Feature Audit: Apple Virtualization Framework** - Native macOS VM support,feature-audit,"triage:done, priority:low, area:vm","feature-audit, priority:low, area:vm"
1229,"Feature Audit: Branch Management** - Create, switch, and merge branches",feature-audit,"triage:done, area:git, priority:low, area:vm","area:git, feature-audit, priority:low, area:vm"
1228,Feature Audit: Commit History** - Browse and search commits,feature-audit,"triage:done, area:git, priority:low, area:vm","area:git, feature-audit, priority:low, area:vm"
1227,Feature Audit: Visual Diff** - Side-by-side file comparison,feature-audit,"triage:done, priority:low, area:ui, area:vm","feature-audit, priority:low, area:ui, area:vm"
1226,Feature Audit: Git Integration** - Built-in Git operations,feature-audit,"triage:done, area:git, priority:low, area:vm","area:git, feature-audit, priority:low, area:vm"
1225,Feature Audit: Bug Detection** - AI-powered static analysis,feature-audit,"triage:done, priority:low, area:vm","feature-audit, priority:low, area:vm"
1224,Feature Audit: Documentation Generation** - Automatic docstring creation,feature-audit,"triage:done, priority:low, area:vm","feature-audit, priority:low, area:vm"
1223,Feature Audit: Refactoring Assistance** - Intelligent code transformation,feature-audit,"triage:done, priority:low, area:vm","feature-audit, priority:low, area:vm"
1222,Feature Audit: Code Review** - AI-powered code analysis and suggestions,feature-audit,"triage:done, priority:low, area:vm","feature-audit, priority:low, area:vm"
1221,Feature Audit: Code Completion** - Monacopilot AI suggestions as you type,feature-audit,"triage:done, priority:low, area:ui, area:vm","feature-audit, priority:low, area:ui, area:vm"
1220,Feature Audit: Command Palette** - Keyboard-driven workflow (Cmd/Ctrl+Shift+P),feature-audit,"triage:done, priority:low, area:ui, area:vm","feature-audit, priority:low, area:ui, area:vm"
1219,Feature Audit: Find &amp; Replace** - Advanced search with regex support,feature-audit,"triage:done, priority:low, area:vm","feature-audit, priority:low, area:vm"
1218,Feature Audit: Multi-File Editing** - Tabs and split views,feature-audit,"triage:done, priority:low, area:vm","feature-audit, priority:low, area:vm"
1217,Feature Audit: Syntax Highlighting** - 50+ languages supported,feature-audit,"triage:done, priority:low, area:vm","feature-audit, priority:low, area:vm"
1216,Feature Audit: IntelliSense** - Intelligent code completion,feature-audit,"triage:done, priority:low, area:vm","feature-audit, priority:low, area:vm"
1215,Feature Audit: Monaco Editor** - Same editor core as VS Code,feature-audit,"triage:done, priority:low, area:ui, area:vm","feature-audit, priority:low, area:ui, area:vm"
1214,Feature Audit: Enhanced ESLint configuration (0 warnings in production),feature-audit,"triage:done, priority:low, area:vm","feature-audit, priority:low, area:vm"
1213,Feature Audit: Improved Babel configuration for consistent transpilation,feature-audit,"triage:done, priority:low, area:vm","feature-audit, priority:low, area:vm"
1212,Feature Audit: Updated dependency management (13 automated dependency updates via Dependabot),feature-audit,"triage:done, priority:low, area:vm","feature-audit, priority:low, area:vm"
1211,Feature Audit: Removed VM binaries from repository (added to .gitignore),feature-audit,"triage:done, priority:low, area:vm","feature-audit, priority:low, area:vm"
1210,Feature Audit: Build &amp; Configuration,feature-audit,"triage:done, priority:low, area:build, area:vm","feature-audit, priority:low, area:build, area:vm"
1209,Feature Audit: Fixed SwiftUI state management for VM list updates,feature-audit,"triage:done, priority:low, area:ui, area:vm","feature-audit, priority:low, area:ui, area:vm"
1208,Feature Audit: Resolved app sandbox issues for VM image access,feature-audit,"triage:done, priority:low, area:vm","feature-audit, priority:low, area:vm"
1207,Feature Audit: Fixed EFI NVRAM file discovery with correct naming pattern (.nvram),feature-audit,"triage:done, area:security, priority:low, area:vm","area:security, feature-audit, priority:low, area:vm"
1206,Feature Audit: Resolved VM startup crashes by implementing dedicated serial dispatch queue,feature-audit,"area:performance, triage:done, priority:low, area:vm","priority:low, feature-audit, area:performance, area:vm"
1205,Feature Audit: Fixed VZ disk attachment configuration (now uses synchronizationMode: .full),feature-audit,"triage:done, priority:low, area:storage, area:vm","feature-audit, priority:low, area:storage, area:vm"
1204,Feature Audit: VM &amp; Virtualization,feature-audit,"triage:done, priority:low, area:vm","feature-audit, priority:low, area:vm"
1203,Feature Audit: Efficient Networking** - Native HTTP/WebSocket implementations,feature-audit,"priority:low, area:networking, area:vm, triage:done, area:performance, area:build","feature-audit, priority:low, area:networking, area:performance, area:build, area:vm"
1202,Feature Audit: Optimized Asset Loading** - Static asset bundling with Tauri resource system,feature-audit,"triage:done, priority:low, area:ui, area:vm","feature-audit, priority:low, area:ui, area:vm"
1201,Feature Audit: Native VM Performance** - Apple Virtualization Framework delivers near-native VM speeds,feature-audit,"area:performance, triage:done, priority:low, area:vm","priority:low, feature-audit, area:performance, area:vm"
1200,Feature Audit: Reduced Memory Footprint** - Tauri&#39;s Rust core uses 50-70% less memory than Electron,feature-audit,"triage:done, priority:low, area:ui, area:vm","feature-audit, priority:low, area:ui, area:vm"
1199,Feature Audit: Faster Startup Time** - Native Rust backend reduces initialization overhead,feature-audit,"area:performance, triage:done, priority:low, area:vm","priority:low, feature-audit, area:performance, area:vm"
1198,Feature Audit: Custom Dashboards** - Pre-configured monitoring visualizations,feature-audit,"triage:done, priority:low, area:ui, area:vm","feature-audit, priority:low, area:ui, area:vm"
1197,Feature Audit: Performance Monitoring** - Real-time application performance tracking,feature-audit,"area:performance, triage:done, priority:low, area:vm","priority:low, feature-audit, area:performance, area:vm"
1196,Feature Audit: Prometheus Metrics** - Metrics export on port 9090,feature-audit,"triage:done, priority:low, area:vm","feature-audit, priority:low, area:vm"
1195,Feature Audit: OpenTelemetry Tracing** - Distributed tracing support with OTLP exporters,feature-audit,"priority:low, area:tracing, area:vm, triage:done, area:build","feature-audit, priority:low, area:build, area:tracing, area:vm"
1194,"Feature Audit: Datadog Integration** - Optional metrics and APM (3 integration methods: SSH, cloud-init, Lima)",feature-audit,"triage:done, priority:low, area:tracing, area:vm","feature-audit, priority:low, area:tracing, area:vm"
1193,Feature Audit: NAT Networking** - Automatic network configuration,feature-audit,"area:networking, triage:done, priority:low, area:vm","area:networking, feature-audit, priority:low, area:vm"
1192,Feature Audit: Virtio Block Devices** - High-performance disk I/O,feature-audit,"priority:low, area:storage, area:vm, triage:done, area:performance","feature-audit, priority:low, area:performance, area:storage, area:vm"
1191,Feature Audit: UEFI Boot Support** - Modern boot with VZEFIBootLoader,feature-audit,"triage:done, priority:low, area:vm","feature-audit, priority:low, area:vm"
1190,Feature Audit: vibecode-ide (50GB) - Full IDE environment,feature-audit,"triage:done, priority:low, area:vm","feature-audit, priority:low, area:vm"
1189,Feature Audit: vibecode-pgvector (20GB) - PostgreSQL with vector extensions,feature-audit,"triage:done, area:rag, priority:low, area:vm","area:rag, feature-audit, priority:low, area:vm"
1188,Feature Audit: vibecode-nodejs-codeserver (50GB) - Node.js + code-server,feature-audit,"triage:done, priority:low, area:vm","feature-audit, priority:low, area:vm"
1187,Feature Audit: vibecode-nodejs (50GB) - Node.js development environment,feature-audit,"triage:done, priority:low, area:vm","feature-audit, priority:low, area:vm"
1186,Feature Audit: vibecode-valkey (10GB) - Redis-compatible in-memory store,feature-audit,"triage:done, priority:low, area:vm","feature-audit, priority:low, area:vm"
1185,Feature Audit: vibecode-postgresql (10GB) - PostgreSQL database VM,feature-audit,"triage:done, priority:low, area:vm","feature-audit, priority:low, area:vm"
1184,Feature Audit: Native VM Images** - Pre-configured Alpine Linux 3.22 VMs for various services,feature-audit,"triage:done, priority:low, area:vm","feature-audit, priority:low, area:vm"
1183,"Feature Audit: Multi-Language Support** - Python, Rust, Go, Java, and more",feature-audit,"triage:done, priority:low, area:vm","feature-audit, priority:low, area:vm"
1182,Feature Audit: Git Integration** - Built-in version control operations,feature-audit,"triage:done, area:git, priority:low, area:vm","area:git, feature-audit, priority:low, area:vm"
1181,Feature Audit: TypeScript/JavaScript** - First-class support with full type checking,feature-audit,"triage:done, priority:low, area:vm","feature-audit, priority:low, area:vm"
1180,Feature Audit: Syntax Highlighting** - Support for 50+ programming languages,feature-audit,"triage:done, priority:low, area:vm","feature-audit, priority:low, area:vm"
1179,Feature Audit: Monaco Editor 0.53.0** - Full-featured code editor with IntelliSense,feature-audit,"triage:done, priority:low, area:ui, area:vm","feature-audit, priority:low, area:ui, area:vm"
1178,Feature Audit: Context-Aware Suggestions** - Intelligent code completion using project context,feature-audit,"triage:done, priority:low, area:vm","feature-audit, priority:low, area:vm"
1177,Feature Audit: Monacopilot Integration** - AI-powered code completion in Monaco editor (v1.2.7),feature-audit,"triage:done, priority:low, area:ui, area:vm","feature-audit, priority:low, area:ui, area:vm"
1176,Feature Audit: Model Orchestration Dashboard** - Complete management interface with usage analytics,feature-audit,"triage:done, priority:low, area:ui, area:vm","feature-audit, priority:low, area:ui, area:vm"
1175,Feature Audit: Multi-Provider Support** - Intelligent routing between AI providers based on task type,feature-audit,"triage:done, priority:low, area:vm","feature-audit, priority:low, area:vm"
1174,"Feature Audit: 321+ AI Models** - Access to OpenAI GPT-4, Anthropic Claude, Google Gemini, Mistral via OpenRouter",feature-audit,"triage:done, priority:low, area:vm","feature-audit, priority:low, area:vm"
1173,Feature Audit: Lima VM Support** - Integration with Lima for lightweight Linux VM management,feature-audit,"triage:done, priority:low, area:vm","feature-audit, priority:low, area:vm"
1172,Feature Audit: Auto-Start Functionality** - Designated VMs start automatically on application launch,feature-audit,"triage:done, priority:low, area:vm","feature-audit, priority:low, area:vm"
1171,Feature Audit: VM Discovery System** - Automatic detection and management of VM images,feature-audit,"triage:done, priority:low, area:vm","feature-audit, priority:low, area:vm"
1170,"Feature Audit: vfkit Integration** - Fast, native VM management without heavy virtualization layers",feature-audit,"triage:done, priority:low, area:vm","feature-audit, priority:low, area:vm"
1169,Feature Audit: Apple VF Runtime Support** - Native Apple Virtualization Framework for running Linux VMs,feature-audit,"triage:done, priority:low, area:vm","feature-audit, priority:low, area:vm"
1168,Feature Audit: Apple Virtualization Framework Integration,feature-audit,"triage:done, priority:low, area:vm","feature-audit, priority:low, area:vm"
1167,"Feature Audit: Native System Integration** - Platform-native menus, notifications, and system tray support",feature-audit,"triage:done, priority:low, area:vm","feature-audit, priority:low, area:vm"
1166,"Feature Audit: Cross-Platform Support** - macOS (Intel + Apple Silicon), Linux (x86_64 + ARM64), Windows (x86_64)",feature-audit,"triage:done, priority:low, area:vm","feature-audit, priority:low, area:vm"
1165,Feature Audit: OpenVSCode Server Backend** - Full VS Code experience with native Rust CLI (no Docker required),feature-audit,"triage:done, priority:low, area:build, area:vm","feature-audit, priority:low, area:build, area:vm"
1164,Feature Audit: Tauri 2.9.1 Integration** - Native desktop application built with Rust + Swift,feature-audit,"triage:done, priority:low, area:ui, area:vm","feature-audit, priority:low, area:ui, area:vm"
1163,Feature Audit: Native Desktop Application,feature-audit,"triage:done, priority:low, area:vm","feature-audit, priority:low, area:vm"
1162,Missing feature: Docker image and Helm chart for ACR deployment,,"priority: p2, area:git, triage:done, area:build","priority: p2, area:git, area:build"
1161,Missing feature: Cross-rig bead sync implementation not merged,,"triage:done, area:git, priority:high","area:git, priority:high"
1160,qa: Issue #790 fix validation script never executed,"high-priority, priority:high, bug, testing","priority: p2, triage:done, area:build, area:ui","priority: p2, area:build, area:ui"
1159,docs: CHANGELOG v1.4.0 has incomplete date (2026-01-XX),documentation,"priority: p2, area:git, triage:done","priority: p2, area:git"
1158,docs: ROADMAP.md has incorrect year (2025 instead of 2026),documentation,"priority: p2, triage:done",priority: p2
1157,[Missing Feature] Unified Launcher with Bun-based OpenVSCode VM,,"priority: p2, area:vm, triage:done, area:git, area:build","priority: p2, area:git, area:build, area:vm"
1156,[Missing Feature] Workspace RAG with MLX and DDTrace Integration,"high-priority, priority:high, observability, area:rag","priority: p2, area:tracing, triage:done, area:git, area:build","priority: p2, area:rag, area:git, area:build, area:tracing"
1155,Backport Apple VF microvm tooling from release/2025-11-apple-vm,,"priority: p2, size:small, triage:done, area:git, area:performance, area:build, area:vm","priority: p2, size:small, area:git, area:performance, area:build, area:vm"
1154,[Missing Feature] Enhanced LLM Observability Dashboard for Datadog,"high-priority, priority:high, monitoring, observability","priority: p2, area:tracing, triage:done, area:git, area:build","priority: p2, area:git, area:build, area:tracing"
1153,Audit unmerged workspace-rag container branches for missing release features,"audit, high-priority, priority:high","priority: p2, area:git, triage:done, area:build","priority: p2, area:git, area:build"
1152,Unmerged fix: CI secret scan false positive,,"priority: p2, area:git, triage:done, area:build","priority: p2, area:git, area:build"
1151,Review release/2025-11-apple-vm for unmerged Apple VF runtime work,,"triage:done, area:git, priority:high, area:performance, area:build, area:ui, area:vm","area:git, priority:high, area:performance, area:build, area:ui, area:vm"
1150,release/2025-11-apple-vm has unmerged commits,,"triage:done, area:git, priority:high, area:performance, area:build, area:ui, area:vm","area:git, priority:high, area:performance, area:build, area:ui, area:vm"
1149,Unmerged feature: workspace-rag Swift container integration,,"priority: p2, area:git, triage:done, area:build","priority: p2, area:git, area:build"
1148,Unmerged feature: workspace-rag MLX + ddtrace integration,,"priority: p2, area:tracing, triage:done, area:git, area:performance","priority: p2, area:git, area:performance, area:tracing"
1147,Unmerged perf: Metal GPU acceleration for VMs,,"priority: p2, area:git, triage:done, area:vm","priority: p2, area:git, area:vm"
1146,Unmerged perf: M-series optimizations (zstd),,"priority: p2, area:git, area:performance, triage:done","priority: p2, area:git, area:performance"
1145,Triage unmerged feature branches (possible missing release features),,"priority: p2, triage:done, area:ui","priority: p2, area:ui"
1144,Unmerged feature: enhanced LLM observability dashboard + Datadog CI visibility,"high-priority, priority:high, monitoring, observability","priority: p2, area:tracing, triage:done, area:git, area:build","priority: p2, area:git, area:build, area:tracing"
1143,Docs reference build-unified-services-with-datadog.sh but script missing,"high-priority, priority:high, monitoring, documentation","priority: p2, triage:done, area:build, area:tracing","priority: p2, area:build, area:tracing"
1142,Docs claim v3.0.0-FINAL DMG/release but tag/artifact missing,,"priority: p2, triage:done",priority: p2
1141,Release notes size/checksum mismatches vs release assets,,"priority: p2, triage:done",priority: p2
1139,Research: apple/foundationdb for transactional KV,,"priority: p2, size:small, area:storage, area:tracing, triage:done","priority: p2, size:small, area:storage, area:tracing"
1138,Research: apple/pkl for config-as-code and tooling,,"priority: p2, triage:done, size:small","priority: p2, size:small"
1137,Research: apple/coremltools for model conversion,,"priority: p2, triage:done, size:small","priority: p2, size:small"
1136,Research: apple/embedding-atlas for embedding visualization,,"priority: p2, size:small, triage:done, area:rag, area:ui","priority: p2, area:rag, size:small, area:ui"
1135,Research: apple/containerization Swift package,,"priority: p2, triage:done, area:performance, area:build","priority: p2, area:performance, area:build"
1134,Research: apple/container for Mac-native container runtime,,"priority: p2, triage:done, area:vm","priority: p2, area:vm"
1133,Fix Ralph Loop Test Isolation,"high-priority, priority:high, bug","priority: p2, triage:done, size:small, area:build","priority: p2, size:small, area:build"
